entry	top_candidate	confidence	verdict
0000:d805			none
0000:d977			none
0000:d9c2			none
0000:d9cf			none
0000:da05			none
0000:db00			none
0000:db22			none
0000:db35			none
0000:dbe2			none
0000:dc7e			none
0000:dd3d			none
0000:dd55			none
0000:dded			none
0000:de76			none
0000:defd			none
0000:df5c			none
0000:e1ea			none
0000:e1ff			none
0000:e200			none
0000:e281			none
0000:e2f5			none
0000:e390			none
0000:e3ab			none
0000:e3ed			none
0000:e58d			none
0000:e660			none
0000:e6af			none
0000:e6cc			none
0000:e6d2			none
0000:e7ea			none
0000:e854			none
0000:e892	CMD_Compare	high	match
0000:e8ed			none
0000:ea2f			none
0000:f2b4			none
0000:f38e			none
0000:f3bf			none
0000:f542			none
0000:f9c0			none
0000:fb92			none
1000:0131			none
1000:0202			none
1000:0b9d			none
1000:0de1			none
1000:0e7a			none
1000:0e9e			none
1000:0ebc			none
1000:0ed6			none
1000:0efa			none
1000:0f26			none
1000:0f2d			none
1000:0f5c			none
1000:0f76			none
1000:0f7d			none
1000:0f92			none
1000:0f99	RunEclVm	medium	weak
1000:0fdf	CMD_Compare	high	match
1000:0ff4			none
1000:103a			none
1000:1073			none
1000:10c3			none
1000:1115			none
1000:11fa			none
1000:127c			none
1000:1391			none
1000:1426			none
1000:14df			none
1000:16a4			none
1000:180b			none
1000:19b3	CMD_Compare	medium	weak
1000:1c44			none
1000:1f36			none
1000:20af			none
1000:2390	sub_3A071	medium	weak
1000:246b	compare_variables	high	match
1000:24c1			none
1000:27d4			none
1000:2863			none
1000:28ef			none
1000:2b52			none
1000:2f46			none
1000:3b01			none
1000:3e02			none
1000:3e5a	CMD_Compare	medium	match
1000:4340			none
1000:43dd			none
1000:458e	sub_29271	medium	weak
1000:4619			none
1000:46aa			none
1000:4a43			none
1000:4b2e	CMD_Compare	medium	match
1000:50e2			none
1000:5338			none
1000:59e5			none
1000:5a95			none
1000:623b			none
1000:6651			none
1000:6712			none
1000:6ae1			none
1000:6c39			none
1000:7263			none
1000:7afc			none
1000:7cb3			none
1000:7e0d			none
1000:83a6			none
1000:8403			none
1000:8467			none
1000:8e7d			none
1000:9acf			none
1000:9c26	CMD_Compare	medium	match
1000:9cca			none
1000:9f1b			none
1000:a0fa			none
1000:a257			none
1000:a2b3			none
1000:a835			none
1000:a892			none
1000:a918	CMD_Compare	medium	match
1000:b93f			none
1000:bcd7			none
1000:bd35			none
1000:c010			none
1000:ce56			none
1000:cf61			none
1000:d0f8	CMD_Compare	high	match
1000:d236			none
1000:d4dd			none
1000:d677			none
1000:d69b			none
1000:d6c3			none
1000:d71e	CMD_Compare	high	match
1000:d995	RunEclVm	medium	weak
1000:dd22			none
1000:df04			none
1000:e105			none
1000:e2ad			none
1000:e7cb			none
1000:e8a1			none
1000:e93f			none
1000:e9c9			none
1000:ea58			none
1000:ea8d	RunEclVm	medium	weak
1000:eb60			none
1000:eeec			none
1000:ef71			none
1000:f16b			none
1000:f1a0			none
1000:f1bd			none
1000:f2b4			none
1000:f567			none
1000:f67d			none
1000:fad0			none
1000:fb92			none
2000:13fd			none
2000:1c53			none
2000:1fd4			none
2000:25a1			none
2000:2886			none
2000:2986			none
2000:3ea6	sub_292A5	high	match
2000:42f6			none
2000:4967	CMD_Compare	high	match
2000:49cd			none
2000:4bc4			none
2000:4c57			none
2000:5206			none
2000:5507			none
2000:558d			none
2000:5605			none
2000:5e38			none
2000:5f66			none
2000:6110	CMD_Compare	medium	match
2000:6acc			none
2000:6b7f			none
2000:6e65			none
2000:6f30	CMD_Compare	medium	match
2000:6fd5			none
2000:706b			none
2000:724d			none
2000:727a			none
2000:72e9			none
2000:7343			none
2000:741b			none
2000:756b			none
2000:75a0			none
2000:768a			none
2000:77a7			none
2000:77e5			none
2000:780a			none
2000:7b02	CMD_Compare	high	match
2000:7c66	RunEclVm	medium	weak
2000:7ce8			none
2000:7d0d			none
2000:7dc4			none
2000:7e91			none
2000:81ec			none
2000:84a4			none
2000:8517	sub_29607	low	none
2000:87f5			none
2000:8c0c	sub_2611D	high	match
2000:8c30			none
2000:8c7b			none
2000:8c9c			none
2000:8cbd			none
2000:8cde			none
2000:8cff			none
2000:8d22			none
2000:8eb0			none
2000:8f4c			none
2000:90da	CMD_Compare	medium	match
2000:9112			none
2000:9802	AffectPoisonPlus0	high	match
2000:98be	sub_29271	high	match
2000:9ba0			none
2000:9e27			none
2000:9e97	CMD_Compare	high	match
2000:9f75			none
2000:9f99			none
2000:9ff1			none
2000:a111	sub_29607	medium	weak
2000:a1e5			none
2000:a22f			none
2000:a35c			none
2000:a396			none
2000:a680			none
2000:a819	RunEclVm	medium	weak
2000:a88f			none
2000:a929			none
2000:b02d			none
2000:b061			none
2000:b0a4			none
2000:b0d9			none
2000:b11c	sub_30168	medium	weak
2000:b17d			none
2000:b332			none
2000:b375			none
2000:b3ca			none
2000:b552			none
2000:b59d	CMD_Random	high	match
2000:b5c6	CMD_Compare	high	match
2000:b713			none
2000:b749			none
2000:b876			none
2000:bcf9			none
2000:bf38	RunEclVm	medium	weak
2000:bfcf			none
2000:c000			none
2000:c03d			none
2000:c1c6			none
2000:c3ce			none
2000:c435			none
2000:c479	CMD_Compare	high	match
2000:c618			none
2000:c7fa			none
2000:c83b			none
2000:c90d			none
2000:caae			none
2000:ccd0			none
2000:cd22			none
2000:cd55	CMD_Compare	high	match
2000:cecc			none
2000:cf2e	CMD_Compare	medium	match
2000:cfc8			none
2000:d080	CMD_Compare	medium	weak
2000:d0b3	CMD_Compare	medium	match
2000:d0e6			none
2000:d158			none
2000:d187	CMD_Compare	medium	match
2000:d1d4			none
2000:d226			none
2000:d805			none
2000:d898			none
2000:da08			none
2000:da54			none
2000:da9a			none
2000:db38			none
2000:dc31			none
2000:dd61	CMD_Compare	medium	match
2000:ddf3			none
2000:e3cd			none
2000:e480			none
2000:e4dd			none
2000:e8d5			none
2000:e99c			none
2000:e9d0			none
2000:ea04			none
2000:ea42	CMD_Compare	medium	weak
2000:eb7a			none
2000:f6be			none
2000:f91f			none
2000:f948			none
2000:fb6d			none
2000:fb8c			none
2000:fc83			none
2000:fd91			none
2000:fdc2			none
2000:fef1			none
2000:fff4			none
3000:006f			none
3000:0c04			none
3000:0c71	CMD_Compare	high	match
3000:0c9f			none
3000:0e11	sub_2619A	high	match
3000:0eb8			none
3000:105d			none
3000:11b4			none
3000:1542			none
3000:180c			none
3000:181b			none
3000:1883			none
3000:18fe			none
3000:1903			none
3000:1908			none
3000:1b72			none
3000:1cef			none
3000:1dba			none
3000:1ed8			none
3000:1f45			none
3000:209d	CMD_Compare	medium	match
3000:20ce			none
3000:2188			none
3000:2316	MovePositionForward	high	match
3000:2478			none
3000:256b	RunEclVm	medium	match
3000:2593	RunEclVm	medium	match
3000:25bb	sub_29677	high	match
3000:25e3	compare_variables	high	match
3000:263d			none
3000:2a91			none
3000:2c87			none
3000:2d11			none
3000:2e69			none
3000:2fb2			none
3000:31a9			none
3000:31ef			none
3000:330b			none
3000:35e7			none
3000:3737			none
3000:388f			none
3000:3a49			none
3000:3bb8			none
3000:3d28			none
3000:3dec			none
