unique_index	block_id	offset	vm_address	text	attachment_kind	owner_target	owner_summary	owner_incoming
2	19	0x12D6	0x92D6	BLUFF	branch_target_region	0x91C7	0x925F 0x01 GOTO 0x004C	0x892A GOTO 0x91C7; 0x8A36 ON GOTO area1.word_14A choice 0; 0x8A8C ON GOTO area1.event_word_202 choice 1; 0x8AC9 ON GOTO area1.event_word_202 choice 2; 0x8AF1 ON GOTO area1.event_word_202 choice 1; 0x8BDD ON GOTO area1.event_word_202 choice 1; 0x8C0D ON GOTO area1.event_word_202 choice 1; 0x8C32 ON GOTO area1.event_word_202 choice 2; 0x8C55 ON GOTO area1.event_word_202 choice 1; 0x8C87 ON GOTO area1.event_word_202 choice 1; 0x8CB9 ON GOTO area1.event_word_202 choice 2; 0x8CDD ON GOTO area1.event_word_202 choice 1; 0x8CFE ON GOTO area1.event_word_202 choice 1; 0x8D28 ON GOTO area1.event_word_202 choice 1; 0x8D55 ON GOTO area1.event_word_202 choice 2; 0x8D79 ON GOTO area1.event_word_202 choice 1; 0x8D9A ON GOTO area1.event_word_202 choice 1; 0x8DBA ON GOTO area1.event_word_202 choice 1
36	19	0x1874	0x9874	HULL:	branch_target_region	0x97F3	0x9850 0x13 RETURN	0x924B GOSUB 0x97F3
54	19	0x1893	0x9893	SENSORS:	branch_target_region	0x97F3	0x9850 0x13 RETURN	0x924B GOSUB 0x97F3
8	19	0x18B4	0x98B4	CONTROLS:	branch_target_region	0x97F3	0x9850 0x13 RETURN	0x924B GOSUB 0x97F3
20	19	0x18F7	0x98F7	ENGINES:	branch_target_region	0x97F3	0x9850 0x13 RETURN	0x924B GOSUB 0x97F3
14	20	0x02FB	0x82FB	DEPOSIT	branch_target_region	0x829C	0x82F4 0x01 GOTO 0x004C	0x80DF ON GOTO area1.event_word_202 choice 0; 0x81E6 ON GOTO area1.event_word_202 choice 0
64	20	0x033A	0x833A	WHICH ONE?	branch_target_region	0x829C	0x82F4 0x01 GOTO 0x004C	0x80DF ON GOTO area1.event_word_202 choice 0; 0x81E6 ON GOTO area1.event_word_202 choice 0
64	20	0x038C	0x838C	WHICH ONE?	branch_target_region	0x829C	0x82F4 0x01 GOTO 0x004C	0x80DF ON GOTO area1.event_word_202 choice 0; 0x81E6 ON GOTO area1.event_word_202 choice 0
34	20	0x1653	0x9653	HOW MUCH?	branch_target_region	0x9632	0x9647 0x13 RETURN	0x8088 GOSUB 0x9632; 0x93DE GOSUB 0x9632
18	20	0x18BE	0x98BE	EETBUGS B+G	branch_target_region	0x97EE	0x98A7 0x13 RETURN	0x865C GOSUB 0x97EE
9	20	0x1AE8	0x9AE8	CONVINCE	branch_target_region	0x97EE	0x98A7 0x13 RETURN	0x865C GOSUB 0x97EE
69	20	0x1B07	0x9B07	WHO WILL TRY?	branch_target_region	0x97EE	0x98A7 0x13 RETURN	0x865C GOSUB 0x97EE
69	20	0x1B3C	0x9B3C	WHO WILL TRY?	branch_target_region	0x97EE	0x98A7 0x13 RETURN	0x865C GOSUB 0x97EE
51	33	0x0898	0x8898	RESIDENTS	branch_target_region	0x87CD	0x87D5 0x12 PRINTCLEAR 'A LOCKER ROOM MADE INTO A KITCHEN.'	0x82CB ON GOTO area1.event_word_206 choice 6
30	33	0x0C7D	0x8C7D	HELP LEECHES	branch_target_region	0x8BFD	0x8C23 0x00 EXIT	0x82CB ON GOTO area1.event_word_206 choice 10
12	33	0x16C8	0x96C8	DECLINE	branch_target_region	0x9657	0x9672 0x00 EXIT	0x82CB ON GOTO area1.event_word_206 choice 14
23	33	0x183C	0x983C	FIGHT MONKS	branch_target_region	0x97AA	0x97D2 0x00 EXIT	0x82CB ON GOTO area1.event_word_206 choice 16
5	33	0x1ADB	0x9ADB	CHEER	branch_target_region	0x9A0B	0x9A3E 0x00 EXIT	0x82CB ON GOTO area1.event_word_206 choice 17
39	34	0x1726	0x9726	LOOK FOR HIS NOTES	branch_target_region	0x9642	"0x966D 0x12 PRINTCLEAR ""CHADE BEGINS SEARCHING THE ROOM, THEN SUDDENLY PULLS UP AND COCKS HIS HEAD TO ONE SIDE AS THOUGH LISTENING. 'WE MUST FIND MY DAUGHTER RIGHT AWAY. FORGET MY NOTES.'"""	0x9605 GOTO 0x9642
52	36	0x0186	0x8186	RISER?	branch_target_region	0x8168	0x8183 0x09 SAVE scratch.word_0208 = abs_0006	0x8103 GOTO 0x8168
46	36	0x052E	0x852E	PICK LOCK	branch_target_region	0x8507	0x8527 0x01 GOTO 0x004C	0x80C4 GOTO 0x8507
38	36	0x053C	0x853C	KNOCK	branch_target_region	0x8507	0x8527 0x01 GOTO 0x004C	0x80C4 GOTO 0x8507
15	36	0x113A	0x913A	DOOR IN FRONT OF YOU	branch_target_region	0x90B6	0x90ED 0x00 EXIT	0x87B2 ON GOTO area1.event_word_204 choice 10
69	36	0x1CF2	0x9CF2	WHO WILL TRY?	branch_target_region	0x9C6C	0x9C73 0x00 EXIT	0x9A74 GOTO 0x9C6C
26	37	0x0397	0x8397	GROTESQUES	branch_target_region	0x834C	0x838B 0x00 EXIT	0x82A6 GOTO 0x834C
65	37	0x03A3	0x83A3	WHITE MONKS	branch_target_region	0x834C	0x838B 0x00 EXIT	0x82A6 GOTO 0x834C
12	37	0x076C	0x876C	DECLINE	branch_target_region	0x86F0	0x8716 0x00 EXIT	0x820B ON GOTO area1.event_word_206 choice 7
37	37	0x17D7	0x97D7	KILL HIM	branch_target_region	0x948C	0x94AF 0x00 EXIT	0x820B ON GOTO area1.event_word_206 choice 13
69	37	0x2345	0xA345	WHO WILL TRY?	branch_target_region	0xA287	0xA28B 0x11 PRINT ' NOTICES A TRIPWIRE STRETCHED ACROSS THE RUBBLE. DO YOU TRY TO DISARM THE DEMO CHARGES?'	0xA266 GOTO 0xA287
58	38	0x093B	0x893B	SMOKING GUN SLOTS	branch_target_region	0x88BD	0x88F5 0x11 PRINT 'RED RIVER BAR'	0x855B ON GOTO area2.event_scratch1 choice 5
59	38	0x0B85	0x8B85	SOMEONE ELSE?	branch_target_region	0x8949	0x8968 0x12 PRINTCLEAR 'A MAN IN A RAGGED MILITARY UNIFORM SITS AGAINST THE WALL HERE.'	0x855B ON GOTO area2.event_scratch1 choice 6
33	48	0x0F66	0x8F66	HIS SPEECH	branch_target_region	0x8E9B	0x8EA8 0x00 EXIT	0x8054 GOTO 0x8E9B
42	49	0x0455	0x8455	OPEN LOCK	branch_target_region	0x844D	0x8451 0x00 EXIT	0x82A0 GOSUB 0x844D; 0x8448 GOSUB 0x844D
28	50	0x0882	0x8882	HE CONTINUES,	branch_target_region	0x882A	"0x8840 0x12 PRINTCLEAR ""LEANDER MEETS YOU. 'THANKSS FOR TURNING OFF THE FIELD. WE MUSST SSTILL HURRY!'"""	0x826A ON GOTO area2.event_scratch1 choice 15
41	50	0x0F39	0x8F39	MOVE CLOSER	branch_target_region	0x8EF2	0x8F04 0x00 EXIT	0x826A ON GOTO area2.event_scratch1 choice 25
10	64	0x024E	0x824E	COPERNICUS POLICE	branch_target_region	0x8243	0x824A 0x00 EXIT	0x8119 ON GOTO area2.event_scratch0 choice 5
28	64	0x0450	0x8450	HE CONTINUES,	branch_target_region	0x8350	"0x8372 0x12 PRINTCLEAR ""A MAN IN LUNA GREY SHAKES YOUR HANDS. 'WELCOME. SORRY ABOUT YOUR SHIP, BUT THERE ARE A FEW PROBLEMS."""	0x8119 ON GOTO area2.event_scratch0 choice 7
25	64	0x1475	0x9475	GIOTTO MINING	branch_target_region	0x946A	0x9471 0x00 EXIT	0x8119 ON GOTO area2.event_scratch0 choice 33
69	64	0x2036	0xA036	WHO WILL TRY?	branch_target_region	0x9856	0x9856 0x12 PRINTCLEAR 'THERE IS A VIDEO-PHONE HERE. DO YOU WISH TO USE IT?'	0x8AB7 GOTO 0x9856
63	64	0x204E	0xA04E	WHICH FILE?	branch_target_region	0x9856	0x9856 0x12 PRINTCLEAR 'THERE IS A VIDEO-PHONE HERE. DO YOU WISH TO USE IT?'	0x8AB7 GOTO 0x9856
48	64	0x239E	0xA39E	PREV	branch_target_region	0xA33C	0xA357 0x13 RETURN	0x8D68 GOSUB 0xA33C; 0x916F GOSUB 0xA33C
55	65	0x0740	0x8740	SHE CONTINUES	branch_target_region	0x861B	0x8641 0x00 EXIT	0x83DA ON GOTO area2.event_scratch0 choice 0
69	65	0x1765	0x9765	WHO WILL TRY?	branch_target_region	0x9734	0x9761 0x00 EXIT	0x8464 GOTO 0x9734; 0x89B2 GOTO 0x9734
12	66	0x0932	0x8932	DECLINE	branch_target_region	0x8629	0x8672 0x11 PRINT 'THE AIR LOCK BEGINS CYCLING.'	0x83B9 GOTO 0x8629
27	66	0x0B57	0x8B57	HE CONTINUES	branch_target_region	0x8A10	"0x8A13 0x12 PRINTCLEAR ""'WELCOME TO THE ROGUE. I AM KILLER KANE. YOU MAY CALL ME MR. KANE. IT IS MOST UNFORTUNATE YOUR SHIP HAD SUCH...DIFFICULTIES."""	0x8235 ON GOTO area2.event_scratch0 choice 6
32	66	0x0B63	0x8B63	HIS OFFER	branch_target_region	0x8A10	"0x8A13 0x12 PRINTCLEAR ""'WELCOME TO THE ROGUE. I AM KILLER KANE. YOU MAY CALL ME MR. KANE. IT IS MOST UNFORTUNATE YOUR SHIP HAD SUCH...DIFFICULTIES."""	0x8235 ON GOTO area2.event_scratch0 choice 6
12	66	0x154B	0x954B	DECLINE	branch_target_region	0x94DF	0x94E6 0x00 EXIT	0x8235 ON GOTO area2.event_scratch0 choice 17
67	66	0x1C01	0x9C01	WHO TRIES?	branch_target_region	0x9B98	0x9B9F 0x00 EXIT	0x9B37 ON GOTO area2.event_scratch0 choice 3
72	80	0x1674	0x9674	WILL SOMEONE TRY TO	branch_target_region	0x9608	"0x9652 0x11 PRINT ""'"""	0x9582 GOTO 0x9608
7	80	0x17E6	0x97E6	CLOSE LINKS	branch_target_region	0x9608	"0x9652 0x11 PRINT ""'"""	0x9582 GOTO 0x9608
29	80	0x19D7	0x99D7	HELP HIM	branch_target_region	0x9608	"0x9652 0x11 PRINT ""'"""	0x9582 GOTO 0x9608
68	80	0x238E	0xA38E	WHO WILL DO IT?	branch_target_region	0xA345	0xA373 0x13 RETURN	0x84A3 GOSUB 0xA345
67	81	0x020C	0x820C	WHO TRIES?	branch_target_region	0x8149	"0x81C0 0x11 PRINT ""SHE EYES YOU WARILY. 'DO YOU HAVE BUSINESS WITH US?'"""	0x8845 GOTO 0x8149
43	81	0x0463	0x8463	OPEN LOCKS	branch_target_region	0x8426	0x845F 0x00 EXIT	0x8401 GOTO 0x8426
27	81	0x1617	0x9617	HE CONTINUES	branch_target_region	0x955B	"0x9585 0x12 PRINTCLEAR ""AN EMACIATED MAN IN A TATTERED LAB COAT APPROACHES. IT'S DR. ROMNEY!"""	0x869F ON GOTO area2.event_scratch1 choice 24
70	82	0x02E3	0x82E3	WILBUR	branch_target_region	0x82AA	0x82AA 0x12 PRINTCLEAR 'A GUARD STEPS UP AND ASKS FOR A PASSWORD. WHAT DO YOU SAY?'	0x81CB GOTO 0x82AA
19	82	0x0D0F	0x8D0F	ELROY	prompt_or_menu_region	0x8CB5	"0x8CF4 0x12 PRINTCLEAR ""'TELL US THE WORD:'"""	0x8CD0 GOTO 0x8CB5
69	82	0x1124	0x9124	WHO WILL TRY?	branch_target_region	0x90C7	0x90E8 0x12 PRINTCLEAR 'THERE IS A COMPUTER HERE. DO YOU ATTEMPT TO USE IT?'	0x84B3 ON GOTO area2.event_scratch1 choice 18
70	82	0x1161	0x9161	WILBUR	branch_target_region	0x90C7	0x90E8 0x12 PRINTCLEAR 'THERE IS A COMPUTER HERE. DO YOU ATTEMPT TO USE IT?'	0x84B3 ON GOTO area2.event_scratch1 choice 18
69	82	0x1329	0x9329	WHO WILL TRY?	branch_target_region	0x92B7	0x92EF 0x12 PRINTCLEAR 'YOU NOTE A SUBROUTINE CONTAINING PASSWORDS. DO YOU TRY TO ACCESS?'	0x921F GOTO 0x92B7
67	84	0x0350	0x8350	WHO TRIES?	branch_target_region	0x82F2	0x830E 0x12 PRINTCLEAR 'THE TERMINAL OF THIS COMPUTER IS ACTIVE. DO YOU TRY TO OPERATE THE COMPUTER?'	0x8070 ON GOTO area2.event_scratch1 choice 3
67	84	0x0880	0x8880	WHO TRIES?	branch_target_region	0x8811	0x881C 0x12 PRINTCLEAR 'SEARCHING THE LAB, YOU FIND PARTS OF A DISMANTLED LASER RIFLE.'	0x8070 ON GOTO area2.event_scratch1 choice 7; 0x80CE ON GOTO area2.event_scratch1 choice 7
37	84	0x0BED	0x8BED	KILL HIM	branch_target_region	0x8921	0x8976 0x00 EXIT	0x8070 ON GOTO area2.event_scratch1 choice 9
67	84	0x1A0B	0x9A0B	WHO TRIES?	branch_target_region	0x99E0	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0x9872 GOTO 0x99E0
53	84	0x1A8B	0x9A8B	SEE FILES	branch_target_region	0x99E0	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0x9872 GOTO 0x99E0
53	84	0x1B0F	0x9B0F	SEE FILES	branch_target_region	0x99E0	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0x9872 GOTO 0x99E0
53	84	0x1B7B	0x9B7B	SEE FILES	branch_target_region	0x99E0	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0x9872 GOTO 0x99E0
53	84	0x1BE6	0x9BE6	SEE FILES	branch_target_region	0x99E0	"0x99E1 0x12 PRINTCLEAR ""DO YOU TRY TO RETRIEVE DR. MALCOLN'S NOTES?"""	0x9872 GOTO 0x99E0
6	95	0x1091	0x9091	CHOOSE:	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
36	95	0x10C3	0x90C3	HULL:	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
54	95	0x10D4	0x90D4	SENSORS:	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
8	95	0x10E5	0x90E5	CONTROLS:	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
20	95	0x1107	0x9107	ENGINES:	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
35	95	0x1153	0x9153	HULL	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
21	95	0x1167	0x9167	ENGN	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
40	95	0x12EF	0x92EF	MISSILE	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
11	95	0x146D	0x946D	CURRENT FUEL:	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
50	95	0x149D	0x949D	REFUEL	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
40	95	0x15C0	0x95C0	MISSILE	branch_target_region	0x8ED8	0x8EF5 0x01 GOTO 0x004C	0x8039 GOTO 0x8ED8
9	96	0x2293	0xA293	CONVINCE	branch_target_region	0xA1D3	0xA1D7 0x11 PRINT 'THEY ATTACK!'	0x8CB8 GOSUB 0xA1D3; 0x8D13 GOSUB 0xA1D3
69	96	0x2310	0xA310	WHO WILL TRY?	branch_target_region	0xA1D3	0xA1D7 0x11 PRINT 'THEY ATTACK!'	0x8CB8 GOSUB 0xA1D3; 0x8D13 GOSUB 0xA1D3
44	97	0x0040	0x8040	PE:PE:BPDB	branch_target_region	0x8014	0x803B 0x01 GOTO 0x80D7	entry ecl_initial_entry
9	97	0x1B49	0x9B49	CONVINCE	branch_target_region	0x9A92	0x9AB4 0x00 EXIT	0x834A ON GOTO area2.event_scratch0 choice 15
69	97	0x1BC0	0x9BC0	WHO WILL TRY?	branch_target_region	0x9A92	0x9AB4 0x00 EXIT	0x834A ON GOTO area2.event_scratch0 choice 15
9	98	0x1FAA	0x9FAA	CONVINCE	branch_target_region	0x9E8F	0x9EA3 0x12 PRINTCLEAR 'THE WALLS HERE ARE LIVID AND BULGE WITH AN UNHEALTHY PULSE. DO YOU TRY TO TREAT IT?'	0x9E5D GOTO 0x9E8F; 0x9E67 GOTO 0x9E8F; 0x9E71 GOTO 0x9E8F; 0x9E7B GOTO 0x9E8F; 0x9E85 GOTO 0x9E8F
69	98	0x2021	0xA021	WHO WILL TRY?	branch_target_region	0x9E8F	0x9EA3 0x12 PRINTCLEAR 'THE WALLS HERE ARE LIVID AND BULGE WITH AN UNHEALTHY PULSE. DO YOU TRY TO TREAT IT?'	0x9E5D GOTO 0x9E8F; 0x9E67 GOTO 0x9E8F; 0x9E71 GOTO 0x9E8F; 0x9E7B GOTO 0x9E8F; 0x9E85 GOTO 0x9E8F
61	98	0x20A2	0xA0A2	USE DEVICE	branch_target_region	0xA071	0xA08B 0x01 GOTO 0x004C	0xA1AB GOTO 0xA071
13	112	0x19D3	0x99D3	DEFUSE	branch_target_region	0x992F	0x9947 0x12 PRINTCLEAR 'A TIME BOMB IS ATTACHED TO A COMPUTER CONSOLE. DO YOU TRY TO DISARM IT?'	0x8228 ON GOTO area2.event_scratch0 choice 27
59	112	0x1AF6	0x9AF6	SOMEONE ELSE?	branch_target_region	0x992F	0x9947 0x12 PRINTCLEAR 'A TIME BOMB IS ATTACHED TO A COMPUTER CONSOLE. DO YOU TRY TO DISARM IT?'	0x8228 ON GOTO area2.event_scratch0 choice 27
67	112	0x1FCB	0x9FCB	WHO TRIES?	branch_target_region	0x9EBE	"0x9ED5 0x11 PRINT "". A SMALL FIRE IS BURNING IN THIS ROOM, AND IT'S BEGINNING TO SPREAD."""	0x9EAC ON GOTO area1.event_word_372 choice 1
33	113	0x0600	0x8600	HIS SPEECH	branch_target_region	0x8014	0x8060 0x00 EXIT	entry ecl_initial_entry
75	113	0x0CCD	0x8CCD	YOU GO TO FLOOR	branch_target_region	0x8C81	0x8C81 0x12 PRINTCLEAR 'AN ELEVATOR. DO YOU USE IT?'	0x8966 ON GOTO area2.event_scratch1 choice 4
67	113	0x1725	0x9725	WHO TRIES?	branch_target_region	0x9682	0x968A 0x12 PRINTCLEAR 'YOU ENTER A COLD STORAGE ROOM.'	0x8966 ON GOTO area2.event_scratch1 choice 18
68	114	0x2379	0xA379	WHO WILL DO IT?	branch_target_region	0xA341	0xA348 0x00 EXIT	0x82B1 GOSUB 0xA341
