block_id	offset	encoded_length	text
66	5356	71	A RAM CREW MEMBER TURNS AROUND. 'HEY, WOULD YOUR GROUP LIKE TO PLAY A GAME OF ZERO-G SQUARES?'
34	1409	21	A RAM PATROL SNIFFS YOU OUT.
36	2191	21	A RAM PATROL SNIFFS YOU OUT.
80	4989	22	A ROBOT DEFENDS A ROOF HATCH!
114	9037	24	A ROBOT MEETS YOU. 'GREETINGS.
114	4342	31	A ROBOT SLAMS THE HATCH. 'BEGIN DESCENT!'
114	5756	56	A SAVAGE ROAR SOON SETTLES TO A SERPENTINE HISS. RIG LIGHTS GROW BRIGHTER.
81	3249	72	A SCIENTIST IS POURING CHEMICALS FROM TEST TUBE TO TEST TUBE. YOU RECOGNIZE HIM AS DR. MALCOLN!
81	3161	35	A SCIENTIST IS WORKING AT A COMPUTER TERMINAL.
84	5209	45	A SCIENTIST SPEAKS. YOU RECOGNIZE HIM AS DR. JEROD MALCOLN!
64	7601	42	A SECRETARY ANSWERS, 'MR. TSAI IS IN MEETINGS ALL DAY.'
34	8169	27	A SECURITY BOT PATROLS THE HALLWAY.
113	5388	42	A SECURITY ROBOT BUMPS USELESSLY AGAINST THE WALL HERE.
113	2996	22	A SECURITY ROBOT CHARGES YOU!
64	7144	60	A SERGEANT ANSWERS, 'I'M SORRY, BUT THE CHIEF IS UNAVAILABLE. TRY AGAIN LATER.'
38	8745	6	A SEVEN
114	4084	11	A SHARP BLAST!
19	594	38	A SHOCK WAVE ROCKS YOUR SHIP AS THE BASE EXPLODES.
112	4948	13	A SHOT RINGS OUT!
38	2310	48	A SIGN DRAWN ON A SCRAP OF CARDBOARD OVER THE NORTH DOOR READS,
113	3442	16	A SIGN OVER IT READS:
113	6470	24	A SIGN OVER THE EAST DOOR READS:
38	8737	4	A SIX
64	4040	77	A SLUMPED SECURITY GUARD COMPLAINS, 'TSAI REPLACED ME WITH AN OFF-WORLD TEAM. PROFESSIONAL KILLERS...'
112	190	66	A STORMRIDER APPROACHES. 'I AM DR. MAKALI'S ASSISTANT. SHE IS EXPECTING YOU IN HER LAB.'
112	2037	71	A STORMRIDER STEPS UP. 'OH, DON'T WORRY ABOUT SNACKER...HE'S A KILLER, TRUE, BUT WELL SECURED.
50	9064	38	A STRETCHER TEAM ARRIVES. LEANDER IS TRUNDLED OFF.
112	2449	21	A STUDENT RUSHES UP TO YOU.
82	120	150	A TALL MAN MEETS YOU. 'I'M FREDRICKSON, THE DIRECTOR. SEARCH THE BASE AND REPORT ANY INFORMATION TO ME. I WILL ISSUE YOU SECURITY PASSES AS SOON AS SALVATION SENDS THE PAPER WORK.' HE BOWS AND LEAVES.
33	3554	123	A TALL, SLENDER WOMAN BREAKS COUNCIL TO MEET WITH YOU. SHE IS PALE WITH LEECH TATTOOS ON HER BODY. SHE WOULD BE SINISTER LOOKING IF NOT FOR HER CLEAR, STEADY EYES.
66	6530	42	A TECHNICIAN YELLS, 'THEY'RE NOT FROM WEAPONS CONTROL!'
38	8774	4	A TEN
38	8709	6	A THREE
82	6751	114	A WARRIOR COMES UP. 'OUR POSITION HAS BECOME UNTENABLE. MORE RAM TROOP SHIPS ARE APPROACHING. WE HAVE BEEN ORDERED TO ACTIVATE THE SELF-DESTRUCT SYSTEM.
64	4121	102	A WEARY FELLOW IN A RUMPLED BUSINESS SUIT MURMURS, 'KOI'S DOING STOCK TRADING SECRETLY. SEEMS TO THINK ANOTHER DISASTER WILL HIT EARTH.'
50	8476	9	A40IA
112	6651	4	A76T2
20	1559	9	AAG,IA
32	21	9	ABD0CDA
1	1207	5	ABORT?
66	5444	5	ACCEPT
84	8071	26	ACCESSES THE BUG NINE VIRUS FILE.
48	3506	14	ACID FROGS ATTACK!
84	4886	84	ACROSS THE ROOM, A GROUP OF SCIENTISTS ARE GATHERED AROUND A WALL SPEAKER. HANIBL SOOTH'S VOICE ISSUES FROM IT.
65	5349	105	ACTIVATES THE HERBICIDE DISPENSERS. A PLANT GENNIE STUMBLES INTO THE ROOM, DISINTEGRATING FROM THE TOXIC SPRAY. IT DISSOLVES INTO A PUDDLE.
1	349	6	ADDBUCK
96	7380	5	ADVICE
49	8111	90	AFTER A BIT, THE TREMORS SUBSIDE. THE MINERS HAVE ALL CLEARED OUT EXCEPT FOR ONE WHO IS TRAPPED UNDER A LARGE BOULDER.
80	7449	25	AFTER A FEW MINUTES, RAM ATTACKS!
114	3284	14	AFTER A STRUGGLE,
97	6465	69	AFTER A WHILE THEY SHOW YOU TO COMFORTABLE QUARTERS WHERE YOU CAN SPEND THE JOURNEY AT EASE.
48	8536	42	AFTER A WHILE, HOWEVER, HE RECOVERS. HE SPEAKS FAINTLY
49	3094	32	AFTER A WHILE, IT STOPS DEEP UNDERGROUND.
48	6414	60	AFTER THE BATTLE, AN ADULT LOWLANDER APPROACHES YOU. IT'S LANDON, ZANE'S FATHER.
114	7844	25	AGAIN THE SKY FILLS WITH ENEMIES!
33	5818	12	AGREE TO MEETING
18	6521	106	AGREES TO BET. YOU WATCH IN AMAZEMENT AS THE MAN SETS AN EMPTY GLASS ON A TABLE, STEPS ACROSS THE ROOM, AND TOSSES A COIN OVER HIS SHOULDER.
17	6391	9	AID TERRANS
84	6223	22	AJEUBAXEAT#RS SHBAT!XBT8P5
17	4701	23	ALARMS SOUND THROUGH THE PORT.
80	7573	31	ALL THE ESCAPEES SPRINT OUT TO THE NORTH.
80	6165	18	ALL THE LINKS ARE DOWN.
112	2314	18	ALL TURN TO ATTACK YOU!
80	2255	44	ALL YOUR GEAR IS TAKEN. YOU HAVE FOOD, WATER AND MEDICINE.
113	7104	53	ALMOST INSTANTLY, THE SURFACE OF THE VAT BEGINS TO BOIL WITH ACTIVITY.
112	5100	30	AMALTHEANS ARE TRASHING THIS CLASSROOM!
112	5267	38	AMALTHEANS CHARGE OUT OF THE CLASSROOM BEHIND YOU!
112	4974	26	AMALTHEANS CHARGE OUT OF THE ROOM!
112	1104	14	AMALTHEANS CHARGE!
112	4130	90	AMALTHEANS HOLD A CLASS OF STORMRIDER STUDENTS AT GUN POINT. THEIR LEADER HOLDS HIS LASER PISTOL TO THE LECTURER'S HEAD.
112	5515	70	AMALTHEANS RUSH DOWN THE TUNNEL! THEY SEEM IN NO HURRY TO FIGHT, HOWEVER. DO YOU ATTACK THEM?
18	4554	3	AMMO
95	3855	3	AMMO
38	8810	5	AN ACE
113	7170	21	AN ADULT WASPHOPPER EMERGES!
112	2778	34	AN AMALTHEAN SQUAD IS SMASHING THE EQUIPMENT!
112	3515	25	AN AMALTHEAN STRIKE TEAM IS HERE.
34	5012	38	AN ANTIQUE PROJECTOR IS ON A PEDESTAL. TURN IT ON?
38	8755	6	AN EIGHT
66	6618	69	AN INDICATOR LIGHTS UP ON THE EXPLOSIVE DEVICE. THIS MUST BE THE LOCATION. DO YOU PLACE IT?
37	2160	69	AN OLDER MAN CREEPS FORWARD. HIS EYES FLUTTER ODDLY. 'I'M WINK, LEADER OF THE WHITE MONKS.'
81	4605	63	AN OLDER MAN IN AN OLIVE-DRAB OFFICER'S UNIFORM SEEMS TO BE RUNNING THE OPERATION.
81	5422	13	AND ARE SPOTTED!
50	4601	9	AND ATTACK!
112	7477	79	AND BEHOLD AN UGLY SCENE. GENETICS FOUNDATION SOLDIERS TOSS ARMLOADS OF BOOKS TO FUEL A GROWING BONFIRE!
38	1619	25	AND DEPOSITS YOU ON FLOOR NUMBER
24	517	18	AND IN UNEXPECTED FORMS.
37	6441	7	AND ISHA
114	3305	43	AND MAKALI ARRIVE AT A HATCH, AND ENTER THE LIVING SHIP!
114	3224	30	AND MAKALI LEAVE VIA THE AIRCAR HATCH.
81	5000	35	AND NOTICES YOU! 'COMMANDER SOOTH! INTRUDERS!'
18	7751	33	AND THE FISSION CHAMBER SIMULATION PROGRAM
66	5556	53	ANOTHER CREW MEMBER SLAPS AN ALARM BUTTON. RAM SECURITY ROBOTS APPEAR.
66	232	112	ANOTHER EXPLOSION OCCURS AND YOU LOSE SENSORS. THE COMPUTER WARNS, 'CRITICAL RADIATION LEVELS. RECOMMEND EVACUATION USING ESCAPE POD ON THIS LEVEL.'
2	431	12	ANOTHER MONSTER?
2	511	12	ANOTHER MONSTER?
37	7288	96	ANOTHER SCREAM FILLS THE AIR, TRAILING OFF AS WINK BREAKS DOWN INTO SOBS. 'DON'T HAVE HIM. GOTTA BELIEVE ME, I DON'T HAVE HIM.'
112	8975	72	ANOTHER STORMRIDER APPROACHES. 'I AM TSUBULU, A LEADER OF THE REVOLUTION. I ADMIRE YOUR COURAGE.
20	2613	42	ANYWAYS, WE TOOK THEIR SHIP AND VENTED THE LOT OF 'EM.'
113	1434	21	APPROVAL.' THE CLERK LEAVES.
50	2506	26	ARE TORMENTING THE LAB DIRECTOR.
1	261	4	ARENA
50	7659	43	AROUND THE EDGE, IN SMALL LETTERS, IS ETCHED 'P.U.R.G.E.'
114	3079	52	AS NIKITA PILOTS THE AIRCAR BACK TO THE RIG, MAKALI PROPOSES AN IDEA,
33	6928	27	AS THE COLD EXECUTION TAKES PLACE.
32	6750	40	AS THE MAN FIDDLES WITH HIS BOX, THE CROWD MOVES OFF.
34	5195	73	AS THE MOVIE ENDS, YOU KNOW YOU WILL BE HAUNTED BY ITS THEMES OF REPLICANTS AS HUMAN AS YOURSELF.
34	7441	78	AS THE SMOKE CLEARS, YOU FIND CHADE'S BLASTED HULK AGAINST THE WALL, WIRES AND CIRCUITS STILL SPARKING.
96	6192	81	AS THE STORMRIDERS CONGRATULATE YOU, THE PIRATES MAKE A LAST DESPERATE ATTEMPT TO GAIN CONTROL OF THE SHIP.
98	904	81	AS THE STORMRIDERS CONGRATULATE YOU, THE PIRATES MAKE A LAST, DESPERATE ATTEMPT TO GAIN CONTROL OF THE SHIP.
32	4262	124	AS YOU APPROACH, AN OLD WOMAN TURNS TO YOU. 'OH, HELP US! RATWURST HAVE TAKEN SOME OF OUR CHILDREN INTO THEIR DENS! NONE OF US ARE STRONG ENOUGH TO FACE THE VERMIN.'
35	2225	36	AS YOU BURST IN, THE GENERAL SUMMONS HIS GUARDS!
48	573	27	AS YOU CAN SSEE, I AM WHOLE AGAIN.'
66	1127	55	AS YOU CLIMB, ANOTHER EXPLOSION ROCKS THE SHIP. THE BLAST OVERWHELMS YOU.
65	115	91	AS YOU ENTER THE MAIN RESEARCH SECTION, YOU SEE A PARTIALLY FAMILIAR FACE. NEXT TO HIM STANDS AN APPREHENSIVE DR. COLDOR.
50	7744	51	AS YOU ENTER THE ROOM, LOWLANDER SCIENTISTS DRAW THEIR WEAPONS, BUT
112	1954	33	AS YOU ENTER THIS LAB, A BEAST SNAPS AT YOU!
84	8576	75	AS YOU LEAVE SOOTH.DOP SPEAKS. 'SEE HOW EASILY GENNIE LOVERS ARE DEFEATED BY ONE OF PURE HUMANITY!'
84	2463	18	AS YOU MOVE TO ATTACK,
38	8506	50	AS YOU MOVE TO KILL THE PROPAGANDIST, BAD DOG STEPS IN BEHIND YOU.
49	1637	18	AS YOU NEAR THE BOTTOM,
80	8277	30	AS YOU REGROUP, BUCK ROGERS REJOINS YOU.
50	4486	38	AS YOU ROUND THE CORNER, YOU SEE A LARGE GROUP OF
81	4710	110	AS YOU WATCH, A PURGE MEMBER APPROACHES THE OFFICER. 'COMMANDER SOOTH, STRIKE TEAM 'A' HAS SCOUTED THE TARGET, AND FINDS IT ONLY LIGHTLY GUARDED.'
112	8069	24	AS YOU WATCH, THE FLAMES GROW.
19	4838	9	ASK FOR HELP
21	2826	13	ASSASSINS ATTACK!
36	6246	32	ASSAULT BOTS ARE TEARING THROUGH THE ROOM.
36	4649	21	ASSAULT BOTS INTERCEPT YOU!
80	3134	34	AT LAST YOU HIT A SOLID FLOOR OF ARMOR PLATE.
1	1486	9	AT RANGE 0.
1	1472	9	AT RANGE 1.
1	1458	9	AT RANGE 2.
37	7955	69	AT THE VERY BACK OF THE HOLE, YOU FIND A CRUDELY MADE DEVICE WITH A SINGLE BUTTON. TAKE IT?
33	3208	11	ATTACK LEECHES
33	6191	11	ATTACK LEECHES
65	4943	7	ATTEMPT.
65	5532	57	ATTRACTS THE ATTENTION OF THE SECURITY PROGRAM. IT SHUTS THE TERMINAL DOWN.
80	4227	15	BACK DOWN THE HOLE!
37	3016	64	BACKED AGAINST A WALL, A YOUNG WOMAN AND HER FOLLOWERS FIGHT A GANG. DO YOU HELP HER?
19	7924	30	BACKS DOWN THE POWER A LITTLE TOO LATE.
38	8618	27	BAD DOG TIES UP THE PURGE RADIO MAN.
38	7946	27	BAD DOG TURNS BACK TO HIS CONTROLS.
32	3723	57	BAD DOG TURNS DOWN THE VOLUME. 'MAN, OH, MAN! I CAN'T EVEN STAND TO LISTEN!
32	3606	113	BAD DOG TURNS ON A POCKET RADIO. AN ANGRY, AUTHORITATIVE VOICE ISSUE OUT OF IT. '...GENETIC MONSTERS MUST BE DESTROYED, FOR THEY ARE BRINGING DOWN...'
20	923	9	BANK ACCT.:
20	980	9	BANK ACCT.:
32	1156	22	BAYTOWER RESIDENTIAL BUILDING
95	5098	12	BEEN REPAIRED.
65	385	112	BEFORE ANYONE CAN REACT, HE THRUSTS HER THROUGH THE LEFT DOOR AND DISAPPEARS AROUND THE CORNER. THE SOUNDS OF DOORS SEALING ECHO THROUGH THE COMPLEX.
64	3664	57	BEFORE ANYONE CAN REACT, LT. JENNER AND DOZENS OF POLICE FLOOD INTO THE ROOM
50	7804	34	BEFORE ANYTHING CAN HAPPEN, LEANDER WALKS IN.
17	5977	96	BEFORE HE CAN EXPLAIN, YOU HEAR THE STOMP OF BOOTED FEET AND THE CLAMOR OF ARMS BEING READIED. ROMNEY CRIES OUT IN EXASPERATION.
80	5071	49	BEFORE IT ACTS, HE VAULTS OFF IT TO THE HATCH ABOVE, AND IS GONE!
36	1742	51	BEFORE YOU CAN CONVINCE HER TO OPEN THE DOOR, RAM WARRIORS FIND YOU.
35	2905	36	BEFORE YOU CAN REACT, THE GUARDS THROW YOU OUT.
96	991	9	BEHIND YOU.
36	7661	77	BER AS A WEAPON. NEVER AGAIN WILL THE SOLAR SYSTEM SEE THE DEVASTATION OF THE TEN YEAR WAR.'JQLP
1	2612	5	BIGPIC
113	664	40	BIO-WEAPON IDENT: 'WASPHOPPER!' DISABLING INTRUDERS!'
19	4822	4	BLUFF
48	2260	114	BOLTS OF ELECTRICITY CRASH AROUND YOU AGAIN AND AGAIN, CAUSING A CONTINUOUS ERUPTION OF THUNDER. CRYSTAL TREES EXPLODE INTO WHIZZING SHRAPNEL WHEN HIT.
1	2312	14	BONUS # TO DAMAGE?
64	8494	12	BOOK IN A DESK.
114	1681	44	BOSS NIKITA BIDS YOU LOOK AT THIS.' IT HOLDS A VIEWSCREEN.
65	4972	3	BOTH
96	6957	57	BOTS ARE IN VARIOUS STAGES OF REPAIR. THOSE STILL FUNCTIONING COME TO LIFE.
1	3138	8	BOX SHOTS.
1	423	5	BOXPIC
33	4328	62	BRING ME THE WEAPONS THAT RAM HAS STASHED HERE IN THE BASEMENT. THEN WE'LL TALK.'
114	7451	51	BUCK AND WILMA ARE IMPRESSED WITH YOUR ACCOUNT OF THE RIG'S DEFENSE.
80	1743	76	BUCK ASKS ABOUT ESCAPE. 'CAN'T. A BIG ROBOT GUARDS THE EXIT, WE HEAR. YOU CAN'T FIGHT IT BAREHANDED!'
18	7822	69	BUCK ASSIGNS AN AIDE TO HELP STEFI SETTLE IN. SHE LEAVES, 'I'LL SEE YOU AROUND. GOOD LUCK!'
18	2883	67	BUCK BRINGS YOU TO HIS OFFICE. 'WE HAVE SOME NEW INFORMATION FOR YOU...SCOT.DOS, REPORT.'
18	2107	12	BUCK CONTINUES,
18	7569	84	BUCK GREETS PROFESSOR CHADE, 'IT IS A PLEASURE TO MEET YOU DR. CHADE. WE ARE GLAD TO PUT YOUR WORK TO GOOD USE.'
18	1145	47	BUCK GUIDES THE OTHERS OFF AS YOU ENTER SALVATION'S MAIN HALL.
18	3338	66	BUCK HANDS YOU A PASSCARD. 'THIS WILL GET YOU INTO TOWER ISLE, AGENT CARRIN'S BUILDING.'
80	3836	44	BUCK IS UNDAUNTED. 'LET'S TRY AGAIN. WE NEED A VOLUNTEER.'
18	110	20	BUCK IS WAITING FOR YOU. '
1	2908	15	BUCK JOINS THE TEAM.
80	4906	9	BUCK LEAVES
1	2983	9	BUCK LEAVES.
18	1827	53	BUCK MEETS YOU. 'YOU SHOULD GO FIND THE STORMRIDERS' FUNGUS ASTEROID.'
18	7916	66	BUCK PRAISES YOU FOR YOUR CONDUCT ON VENUS. 'LEANDER ARRIVED HERE JUST A FEW HOURS AGO.
18	1403	24	BUCK REMINDS YOU OF YOUR MISSION
18	1637	24	BUCK REMINDS YOU OF YOUR MISSION
1	2826	9	BUCK ROGERS
1	2949	9	BUCK ROGERS
80	31	9	BUCK ROGERS
80	2407	30	BUCK ROGERS! 'I'M SURE GLAD TO SEE YOU!'
18	1211	18	BUCK SENDS YOU BACK OUT.
18	8082	100	BUCK SPEAKS. 'I NEVER WOULD HAVE SUSPECTED THAT OUR SPY WAS ZACARY CEBERT! TOO BAD HE DIDN'T SURVIVE, I'D HAVE LIKED TO QUESTION HIM.
18	281	80	BUCK TAKES DR. ROMNEY'S NOTES. 'VERY INTERESTING. I'LL HAVE SCOT.DOS LOOK AT THESE. THEY MAY PROVE USEFUL.
18	3637	118	BUCK TURNS TO LEAVE, BUT CARLTON TURABIAN AND NATBAKKA RUSH UP. 'BUCK, WE'VE JUST RECEIVED A RADIO MESSAGE FROM LEANDER ON JUPITER. I'M AFRAID IT'S BAD NEWS.
18	4000	107	BUCK TURNS TO YOU. 'WE'LL HAVE TO FIGURE OUT A WAY TO GET YOU TO JUPITER. WE DON'T HAVE A SHIP WITH ENOUGH FUEL CAPACITY TO GET THERE. HMM...'
17	8853	11	BUCK'S MESSAGE
80	5838	13	BUNGLED THE JOB.
96	1850	59	BUT BOTH AGREE THAT THEY WILL DO NOTHING UNTIL THEIR SUPERIORS HAVE APPROVED.
114	3828	33	BUT SAVED BY AN AUTOSNARE IN THE RIG'S TAIL!
49	7912	54	BUT SUDDENLY, YOU ARE ALL HURLED TO THE GROUND BY A MASSIVE EARTHQUAKE!
114	8779	55	BUT THE GREAT SHIP STIRS! ONE SCOOP OF ITS MAW DEVOURS MOST OF YOUR FOES!
80	1311	21	BUT YOU LEARN NOTHING NEW.
19	7295	20	BUT YOU MAKE IT IN SAFELY.
17	3937	7	BUY DRINK
20	1646	7	BUY DRINK
81	5267	120	BY EXAMINING THE CONTROL STATION MONITORS, YOU DETERMINE THAT PURGE WAS ATTACKING A DESERT RUNNER RADIO STATION LOCATED NEAR THE EDGE OF THE LOSANGELORG DESERT.
65	656	12	BYPASS SECURITY
81	1246	12	BYPASS SECURITY
36	5345	10	CALL SCOT.DOS
17	6379	10	CALL SECURITY
33	1452	9	CAN OF FOOD
66	6734	20	CAN'T. DOES SOMEONE ELSE?
84	6843	16	CAN'T. SOMEONE ELSE?
112	8273	16	CAN'T. SOMEONE ELSE?
113	4598	4	CAN.'
84	2433	6	CAPTURE
80	3664	25	CAREFULLY YOU BUILD THE PYRAMID.
19	8960	42	CARLTON TURABIAN COMES ON SCREEN, OBVIOUSLY DISPLEASED.
112	4614	43	CARRYING THE BODY OF THEIR PROFESSOR, THE STUDENTS LEAVE.
17	8087	78	CELLOR GRABS YOUR ARM. 'BERKELEY IS DEAD, WHICH PUTS ME IN POWER. SEE ME IN MY OFFICE JUST SOUTHEAST. I
38	1609	6	CENDS...
37	5724	4	CHADE
34	4877	120	CHADE BEGINS POKING UNDER SEATS, MUTTERING, 'THEY MUST BE HERE SOMEWHERE.' HE FINALLY GIVES UP AND SUGGESTS YOU LOOK FOR HIS NOTES IN GENETICS ROOM TO THE EAST.
34	6381	64	CHADE CHARGES, SHOUTING 'LET HER GO!' THE ASSASSINS STRIKE HIM WITH THEIR RIFLES AND
34	8898	41	CHADE CLAPS EXUBERANTLY. 'THAT IS MY FAVORITE MOVIE!'
34	8629	80	CHADE HURLS HIMSELF AT THE AGENTS. HIS BODY ERUPTS IN A SHOWER OF SPARKS AS HE IS RIDDLED WITH LASER FIRE.
34	5961	63	CHADE SHAKES HIS HEAD. 'NO TIME FOR THAT.' HE RACES OUT THE DOOR. DO YOU FOLLOW HIM?
34	6448	30	CHADE SPRAWLS AT HER FEET, UNCONSCIOUS.
37	7695	81	CHADE'S MEAGER BELONGINGS ARE SCATTERED ABOUT, AND A WARDROBE INCLUDING DRESSES - PRESUMABLY HIS DAUGHTER'S.
34	8863	5	CHADE.
84	988	12	CHANGE SEQUENCE
37	8127	60	CHANTING 'LOA-LOA!.' SHE SOON APPEARS, SENDING THE CROWD INTO A GREATER FRENZY.
82	3644	4	CHASE
35	5289	19	CHEBUHD!SPRS+ WAJV XA!
1	1759	21	CHECK ONLY A SINGLE PERSON?
1	1954	21	CHECK ONLY A SINGLE PERSON?
1	2150	21	CHECK ONLY A SINGLE PERSON?
33	6875	4	CHEER
37	8198	90	CHEERING YOU IN A FRENZY OF LIBERATION. A YOUNG WOMAN, HER TATTERED CLOTHES WORN WITH DIGNITY, SEPARATES FROM THE CROWD.
17	2266	7	CHICAGORG
64	9066	9	CHIEF MCKAY
38	6431	17	CHILDREN COWER BEYOND.
95	4241	6	CHOOSE:
80	3103	24	CLEARING THE SAND IS TOUGH WORK.
80	3696	35	CLIMBS A HUMAN LADDER TOWARD A GLOWERING SKY.
80	3891	46	CLIMBS INTO A LAYER OF MIST STRUNG WITH LIGHTS. A FALSE SKY!
80	6118	9	CLOSE LINKS
19	6104	8	CLOSING...
65	4128	19	COMMANDOS AID THE CYBORG.
95	4445	3	CONT
96	4091	17	CONTINUE TO THE NORTH.
95	4669	10	CONTROLS HAVE
19	7537	7	CONTROLS.
19	6324	7	CONTROLS:
95	4325	9	CONTROLS:
20	6888	6	CONVINCE
96	8851	6	CONVINCE
97	6985	6	CONVINCE
98	8106	6	CONVINCE
114	2532	41	CONVINCED IT WILL KILL THE ECGS, THEY BEGIN TO SET UP.
19	2989	8	COPERNICUS
64	590	13	COPERNICUS POLICE
64	560	12	COPERNICUS PORT
95	5249	20	COST: 20 CR PER FUEL UNIT.
37	2233	24	CROWS FROM HIS GANG ECHO LOUDLY.
50	1786	30	CRUSHING FORCE SLAMS YOU TO THE GROUND.
95	5229	11	CURRENT FUEL:
95	5720	20	CURRENT MEDICAL SUPPLIES:
37	8319	78	D. 'WE ARE FREE OF THE GANG WARS NOW, THANKS TO YOU. WE'LL REMEMBER YOU WHILE WE MAKE A TRUE COMMUNITY,
