entry	coab_name	skeptic_verdict	confidence	discriminating_detail
2000:7c66	RunEclVm	no	high	The Matrix function manipulates a global byte at offset 0x72da and uses specific memory access patterns with constants like 0x1e and 0xc, while the COAB function manages a global stop flag and iterates through an ECL command table without any equivalent memory manipulation or constant usage.
2000:8517	sub_29607	error		Could not extract function sub_29607 from ovr003.cs
2000:8c0c	sub_2611D	error		Could not extract function sub_2611D from ovr003.cs
2000:90da	CMD_Compare	no	high	The Matrix function checks a single byte at offset 0x4438 for the value 5, while CMD_Compare performs a complex string or variable comparison based on command codes, showing no structural alignment in conditional logic or data access patterns.
2000:9802	AffectPoisonPlus0	no	high	The Matrix function performs complex bit manipulation and conditional writes to memory addresses based on indirect lookups from input parameters, while the COAB function simply calls another function with a hardcoded constant, showing no structural alignment in control flow or data access patterns.
2000:98be	sub_29271	error		Could not extract function sub_29271 from ovr003.cs
2000:9e97	CMD_Compare	no	high	The Matrix function operates on a fixed offset (0xe3) from a parameter and modifies game state based on arithmetic comparisons, while CMD_Compare handles string and variable comparisons via external functions without any fixed memory offset manipulation.
2000:a111	sub_29607	error		Could not extract function sub_29607 from ovr003.cs
2000:a819	RunEclVm	no	high	The Matrix function calls FUN_0000_643a() while the COAB function has no equivalent call, and the Matrix function has no loop or control flow structure matching the COAB's while loop with command execution logic.
2000:b11c	sub_30168	error		Could not extract function sub_30168 from ovr008.cs
2000:b59d	CMD_Random	no	high	The Matrix function compares a random value against a parameter, while CMD_Random uses a random value to index into memory and store it, showing no structural correspondence in control flow or memory access patterns.
2000:b5c6	CMD_Compare	no	high	The Matrix function performs a simple minimum value comparison between two integers, while the COAB function handles string and variable comparisons with distinct control flow paths, showing no structural alignment in their conditional logic or operation types.
2000:bf38	RunEclVm	no	high	The Matrix function accesses memory addresses 0x5360, 0x5364, 0x5366, 0x5368, 0x5369 with specific offsets and performs a direct call to FUN_0000_3721(), while the COAB function uses a global state object 'gbl' with no such memory addressing or direct function calls, indicating completely different execution models.
2000:c479	CMD_Compare	no	high	The Matrix Cubed function performs a byte-level loop with decrementing counter and character accumulation, while the COAB function performs string or variable comparison without any loop structure involving decrementing counters.
2000:cd55	CMD_Compare	no	high	The Matrix Cubed function accesses memory at a fixed offset (-0x24a) and compares against another fixed offset (-0x210), while the COAB function performs dynamic string or variable comparisons without any fixed-offset memory access pattern.
2000:cf2e	CMD_Compare	no	high	The Matrix Cubed function manipulates memory addresses with specific offsets like (-0x212, -0x210, -0x20e) and writes to fixed addresses (0x747d, 0x8d71, 0x7458), while the COAB function uses indexed array access and string/variable comparison operations with no equivalent memory manipulation pattern.
2000:d080	CMD_Compare	no	high	The Matrix function accesses a fixed memory address 0x7457 and modifies it based on a conditional, while CMD_Compare performs dynamic string or variable comparison with no equivalent memory manipulation at a fixed offset.
2000:d0b3	CMD_Compare	no	high	The Matrix Cubed function accesses a fixed memory address 0x7457 and performs a byte-level comparison with a parameter offset, while the COAB function operates on dynamic array indices and uses different comparison logic entirely.
2000:d187	CMD_Compare	no	high	The Matrix Cubed function performs a specific memory write to address 0x747e with a calculated byte value, while the COAB function performs entirely different operations involving string and variable comparison without any equivalent memory manipulation.
2000:dd61	CMD_Compare	no	high	The Matrix Cubed function manipulates a global integer at 0x7455 with arithmetic operations and bounds checking based on offsets from DAT_0000_ffa7, while the COAB function performs string or variable comparison without any numeric accumulator manipulation.
2000:ea42	CMD_Compare	no	high	The Matrix function performs memory accesses and conditional logic based on specific hardcoded offsets like 0x4418, 0x7369, 0x736a, while CMD_Compare uses array indexing with gbl.cmd_opps[1], gbl.cmd_opps[2] and calls to vm_LoadCmdSets, vm_GetCmdValue, which are entirely different control flow and data access patterns.
3000:0c71	CMD_Compare	no	high	The Matrix Cubed function returns a ternary result (0xffff, 0, or 1) based on integer comparison against zero, while the COAB function performs string or variable comparison with no equivalent conditional return structure.
3000:0e11	sub_2619A	error		Could not extract function sub_2619A from ovr003.cs
3000:209d	CMD_Compare	no	high	The Matrix function performs a range check on two char parameters against constants 0 and 6, while CMD_Compare performs string or variable comparison based on command codes, showing no structural alignment in logic or control flow.
3000:2316	MovePositionForward	no	high	The Matrix function performs complex coordinate calculations with indexed memory accesses and conditional loops involving multiple data tables, while the COAB function uses simple modulo arithmetic with hardcoded direction values, showing no structural alignment in how movement is computed or validated.
3000:256b	RunEclVm	no	high	The Matrix function performs a lookup in a table at offset 0x69ed using a value derived from a subfunction call, while the COAB function implements a loop-based ECL command interpreter with no such table lookup pattern.
3000:2593	RunEclVm	no	high	The Matrix function performs a lookup in a table at offset 0x69ee using a value from another function, while the COAB function implements a loop-based virtual machine executor with no table lookup at a fixed offset.
3000:25bb	sub_29677	no	high	The Matrix function performs a lookup in a data table using a masked byte index, while the COAB function contains a complex game loop with ECL VM execution and state management, showing no structural alignment in control flow or data access patterns.
3000:25e3	compare_variables	no	high	The Matrix function performs a lookup in a data table using a loop with specific memory access patterns and conditional checks based on param_1 and param_2, while the COAB function simply sets comparison flags without any looping or table lookups.
